file,message,notes
submissions/v301_copd_no_j20_j45_j81_j82_j93_j95_assocdiff_broad_assoc_v185keep.csv,v301: copd_no_j20_j45_j81_j82_j93_j95 plus assocdiff_broad_assoc and v185 KEEP,"best public KEEP base v296_copd_no_j20_j45_j81_j82_j93_j95.csv (0.42995, +0.00308) plus ASSOC/DIFF hedge v286_assocdiff_broad_assoc.csv and v185 private KEEP"
submissions/v302_copd_no_j20_j45_j81_j82_j93_j95_assocdiff_highconf_assoc_v185keep.csv,v302: copd_no_j20_j45_j81_j82_j93_j95 plus assocdiff_highconf_assoc and v185 KEEP,"best public KEEP base v296_copd_no_j20_j45_j81_j82_j93_j95.csv (0.42995, +0.00308) plus ASSOC/DIFF hedge v283_assocdiff_highconf_assoc.csv and v185 private KEEP"
submissions/v303_copd_no_j20_j45_j31_j98_assocdiff_broad_assoc_v185keep.csv,v303: copd_no_j20_j45_j31_j98 plus assocdiff_broad_assoc and v185 KEEP,"best public KEEP base v293_copd_no_j20_j45_j31_j98.csv (0.42874, +0.00187) plus ASSOC/DIFF hedge v286_assocdiff_broad_assoc.csv and v185 private KEEP"
submissions/v304_copd_no_j20_j45_j31_j98_assocdiff_highconf_assoc_v185keep.csv,v304: copd_no_j20_j45_j31_j98 plus assocdiff_highconf_assoc and v185 KEEP,"best public KEEP base v293_copd_no_j20_j45_j31_j98.csv (0.42874, +0.00187) plus ASSOC/DIFF hedge v283_assocdiff_highconf_assoc.csv and v185 private KEEP"
submissions/v305_copd_no_j20_j45_j81_j82_j93_j95_assocdiff_cardiorenal_v185keep.csv,v305: copd_no_j20_j45_j81_j82_j93_j95 plus assocdiff_cardiorenal and v185 KEEP,"best public KEEP base v296_copd_no_j20_j45_j81_j82_j93_j95.csv (0.42995, +0.00308) plus ASSOC/DIFF hedge v288_assocdiff_cardiorenal.csv and v185 private KEEP"
submissions/v306_copd_no_j20_j45_j81_j82_j93_j95_assocdiff_pulmonary_v185keep.csv,v306: copd_no_j20_j45_j81_j82_j93_j95 plus assocdiff_pulmonary and v185 KEEP,"best public KEEP base v296_copd_no_j20_j45_j81_j82_j93_j95.csv (0.42995, +0.00308) plus ASSOC/DIFF hedge v287_assocdiff_pulmonary.csv and v185 private KEEP"
submissions/v307_copd_no_j20_j45_j93_j95_assocdiff_broad_assoc_v185keep.csv,v307: copd_no_j20_j45_j93_j95 plus assocdiff_broad_assoc and v185 KEEP,"best public KEEP base v295_copd_no_j20_j45_j93_j95.csv (0.42835, +0.00148) plus ASSOC/DIFF hedge v286_assocdiff_broad_assoc.csv and v185 private KEEP"
submissions/v308_copd_no_j20_j45_j93_j95_assocdiff_highconf_assoc_v185keep.csv,v308: copd_no_j20_j45_j93_j95 plus assocdiff_highconf_assoc and v185 KEEP,"best public KEEP base v295_copd_no_j20_j45_j93_j95.csv (0.42835, +0.00148) plus ASSOC/DIFF hedge v283_assocdiff_highconf_assoc.csv and v185 private KEEP"
submissions/v309_copd_no_j20_j45_j81_j82_assocdiff_broad_assoc_v185keep.csv,v309: copd_no_j20_j45_j81_j82 plus assocdiff_broad_assoc and v185 KEEP,"best public KEEP base v294_copd_no_j20_j45_j81_j82.csv (0.42835, +0.00148) plus ASSOC/DIFF hedge v286_assocdiff_broad_assoc.csv and v185 private KEEP"
submissions/v310_copd_no_j20_j45_j81_j82_assocdiff_highconf_assoc_v185keep.csv,v310: copd_no_j20_j45_j81_j82 plus assocdiff_highconf_assoc and v185 KEEP,"best public KEEP base v294_copd_no_j20_j45_j81_j82.csv (0.42835, +0.00148) plus ASSOC/DIFF hedge v283_assocdiff_highconf_assoc.csv and v185 private KEEP"
