file,message,notes
submissions/v381_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_no_med_add_v185keep_assocdiff.csv,v381: copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc no_med_add v185keep assocdiff,"post-July4 source v357_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185keep_ent_gi_derm_assocdiff.csv (0.43156, +0.00161 vs v296); med=drop, private_keep=CKD+UTI+Diabetes+Pneumonia, assoc=assocdiff"
submissions/v382_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_no_v185keep_assocdiff.csv,v382: copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc med_keep no_v185keep assocdiff,"post-July4 source v357_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185keep_ent_gi_derm_assocdiff.csv (0.43156, +0.00161 vs v296); med=keep, private_keep=none, assoc=assocdiff"
submissions/v383_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_no_med_add_no_v185keep_assocdiff.csv,v383: copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc no_med_add no_v185keep assocdiff,"post-July4 source v357_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185keep_ent_gi_derm_assocdiff.csv (0.43156, +0.00161 vs v296); med=drop, private_keep=none, assoc=assocdiff"
submissions/v384_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185_ckd_uti_assocdiff.csv,v384: copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc med_keep v185_ckd_uti assocdiff,"post-July4 source v357_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185keep_ent_gi_derm_assocdiff.csv (0.43156, +0.00161 vs v296); med=keep, private_keep=CKD+UTI, assoc=assocdiff"
submissions/v385_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185_diab_pneu_assocdiff.csv,v385: copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc med_keep v185_diab_pneu assocdiff,"post-July4 source v357_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185keep_ent_gi_derm_assocdiff.csv (0.43156, +0.00161 vs v296); med=keep, private_keep=Diabetes+Pneumonia, assoc=assocdiff"
submissions/v386_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_no_med_add_v185_ckd_uti_assocdiff.csv,v386: copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc no_med_add v185_ckd_uti assocdiff,"post-July4 source v357_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185keep_ent_gi_derm_assocdiff.csv (0.43156, +0.00161 vs v296); med=drop, private_keep=CKD+UTI, assoc=assocdiff"
submissions/v387_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_no_med_add_v185_diab_pneu_assocdiff.csv,v387: copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc no_med_add v185_diab_pneu assocdiff,"post-July4 source v357_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185keep_ent_gi_derm_assocdiff.csv (0.43156, +0.00161 vs v296); med=drop, private_keep=Diabetes+Pneumonia, assoc=assocdiff"
submissions/v388_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185_ckd_assocdiff.csv,v388: copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc med_keep v185_ckd assocdiff,"post-July4 source v357_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185keep_ent_gi_derm_assocdiff.csv (0.43156, +0.00161 vs v296); med=keep, private_keep=CKD, assoc=assocdiff"
submissions/v389_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185_uti_assocdiff.csv,v389: copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc med_keep v185_uti assocdiff,"post-July4 source v357_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185keep_ent_gi_derm_assocdiff.csv (0.43156, +0.00161 vs v296); med=keep, private_keep=UTI, assoc=assocdiff"
submissions/v390_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_no_med_add_v185_ckd_assocdiff.csv,v390: copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc no_med_add v185_ckd assocdiff,"post-July4 source v357_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185keep_ent_gi_derm_assocdiff.csv (0.43156, +0.00161 vs v296); med=drop, private_keep=CKD, assoc=assocdiff"
submissions/v391_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185_diabetes_assocdiff.csv,v391: copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc med_keep v185_diabetes assocdiff,"post-July4 source v357_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185keep_ent_gi_derm_assocdiff.csv (0.43156, +0.00161 vs v296); med=keep, private_keep=Diabetes, assoc=assocdiff"
submissions/v392_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185_pneumonia_assocdiff.csv,v392: copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc med_keep v185_pneumonia assocdiff,"post-July4 source v357_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185keep_ent_gi_derm_assocdiff.csv (0.43156, +0.00161 vs v296); med=keep, private_keep=Pneumonia, assoc=assocdiff"
submissions/v393_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_no_med_add_v185_uti_assocdiff.csv,v393: copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc no_med_add v185_uti assocdiff,"post-July4 source v357_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185keep_ent_gi_derm_assocdiff.csv (0.43156, +0.00161 vs v296); med=drop, private_keep=UTI, assoc=assocdiff"
submissions/v394_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_no_med_add_v185_ckd_uti_pulmonary_assocdiff.csv,v394: copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc no_med_add v185_ckd_uti pulmonary_assocdiff,"post-July4 source v357_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185keep_ent_gi_derm_assocdiff.csv (0.43156, +0.00161 vs v296); med=drop, private_keep=CKD+UTI, assoc=pulmonary_assocdiff"
submissions/v395_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_no_med_add_v185_diabetes_assocdiff.csv,v395: copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc no_med_add v185_diabetes assocdiff,"post-July4 source v357_copd_no_j20_j45_j81_j82_j93_j95_med_add_thymus_nodes_assoc_med_keep_v185keep_ent_gi_derm_assocdiff.csv (0.43156, +0.00161 vs v296); med=drop, private_keep=Diabetes, assoc=assocdiff"
