file,message,notes
submissions/v621_v392_epi_i10_narrow.csv,v621: v392 Epistaxis ASSOC narrowed to I10,"source v392 (0.43156, -0.00186 vs v543); med=keep; private_keep=v185_pneumonia; assoc=epistaxis_i10_narrow"
submissions/v622_v391_epi_i10_narrow.csv,v622: v391 Epistaxis ASSOC narrowed to I10,"source v391 (0.43156, -0.00186 vs v543); med=keep; private_keep=v185_diabetes; assoc=epistaxis_i10_narrow"
submissions/v623_v389_epi_i10_narrow.csv,v623: v389 Epistaxis ASSOC narrowed to I10,"source v389 (0.43156, -0.00186 vs v543); med=keep; private_keep=v185_uti; assoc=epistaxis_i10_narrow"
submissions/v624_v388_epi_i10_narrow.csv,v624: v388 Epistaxis ASSOC narrowed to I10,"source v388 (0.43156, -0.00186 vs v543); med=keep; private_keep=v185_ckd; assoc=epistaxis_i10_narrow"
submissions/v625_v385_epi_i10_narrow.csv,v625: v385 Epistaxis ASSOC narrowed to I10,"source v385 (0.43156, -0.00186 vs v543); med=keep; private_keep=v185_diab_pneu; assoc=epistaxis_i10_narrow"
submissions/v626_v384_epi_i10_narrow.csv,v626: v384 Epistaxis ASSOC narrowed to I10,"source v384 (0.43156, -0.00186 vs v543); med=keep; private_keep=v185_ckd_uti; assoc=epistaxis_i10_narrow"
submissions/v627_v382_epi_i10_narrow.csv,v627: v382 Epistaxis ASSOC narrowed to I10,"source v382 (0.43156, -0.00186 vs v543); med=keep; private_keep=none; assoc=epistaxis_i10_narrow"
submissions/v628_v357_epi_i10_narrow.csv,v628: v357 Epistaxis ASSOC narrowed to I10,"source v357 (0.43156, -0.00186 vs v543); med=keep; private_keep=v185keep; assoc=epistaxis_i10_narrow"
submissions/v629_v342_epi_i10_narrow.csv,v629: v342 Epistaxis ASSOC narrowed to I10,"source v342 (0.43156, -0.00186 vs v543); med=keep; private_keep=v185_diab_pneu; assoc=epistaxis_i10_narrow"
submissions/v630_v341_epi_i10_narrow.csv,v630: v341 Epistaxis ASSOC narrowed to I10,"source v341 (0.43156, -0.00186 vs v543); med=keep; private_keep=v185_ckd_uti; assoc=epistaxis_i10_narrow"
submissions/v631_v302_epi_i10_narrow.csv,v631: v302 Epistaxis ASSOC narrowed to I10,"source v302 (0.43156, -0.00186 vs v543); med=keep; private_keep=v185keep; assoc=epistaxis_i10_narrow"
submissions/v632_v301_epi_i10_narrow.csv,v632: v301 Epistaxis ASSOC narrowed to I10,"source v301 (0.43156, -0.00186 vs v543); med=keep; private_keep=v185keep; assoc=epistaxis_i10_narrow"
submissions/v633_v543_med_add_c37.csv,v633: v543 plus Mediastinum C37,"source v543 (0.43342, +0.00000 vs v543); med=keep; private_keep=none; assoc=epistaxis_i10"
submissions/v634_v543_med_add_d384.csv,v634: v543 plus Mediastinum D384,"source v543 (0.43342, +0.00000 vs v543); med=keep; private_keep=none; assoc=epistaxis_i10"
submissions/v635_v543_med_add_c771.csv,v635: v543 plus Mediastinum C771,"source v543 (0.43342, +0.00000 vs v543); med=keep; private_keep=none; assoc=epistaxis_i10"
submissions/v636_v543_med_add_a154.csv,v636: v543 plus Mediastinum A154,"source v543 (0.43342, +0.00000 vs v543); med=keep; private_keep=none; assoc=epistaxis_i10"
submissions/v637_v543_med_add_thymus_nodes.csv,v637: v543 plus Mediastinum thymus/nodes,"source v543 (0.43342, +0.00000 vs v543); med=keep; private_keep=none; assoc=epistaxis_i10"
submissions/v638_v543_med_c37_v185_ckd_uti.csv,v638: v543 plus C37 and v185 CKD/UTI KEEP,"source v543 (0.43342, +0.00000 vs v543); med=keep; private_keep=v185_ckd_uti; assoc=epistaxis_i10"
submissions/v639_v543_med_c37_v185_diab_pneu.csv,v639: v543 plus C37 and v185 Diabetes/Pneumonia KEEP,"source v543 (0.43342, +0.00000 vs v543); med=keep; private_keep=v185_diab_pneu; assoc=epistaxis_i10"
submissions/v640_v543_med_c37_v185keep.csv,v640: v543 plus C37 and v185 private KEEP,"source v543 (0.43342, +0.00000 vs v543); med=keep; private_keep=v185keep; assoc=epistaxis_i10"
