file,message,notes
submissions/v761_v296_portfolio_renal_metabolic_obstetric_prune.csv,v761: v296 renal/metabolic obstetric KEEP prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v762_v296_portfolio_cardio_pulm_noise_prune.csv,v762: v296 cardio/pulm procedural KEEP prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v763_v296_portfolio_thyroid_axis_prune.csv,v763: v296 thyroid-axis KEEP prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v764_v296_portfolio_respiratory_noise_prune.csv,v764: v296 respiratory-noise KEEP prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v765_v296_portfolio_gi_gu_skin_prune.csv,v765: v296 GI/GU/skin false-positive KEEP prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v766_v296_portfolio_ent_skin_endocrine_prune.csv,v766: v296 ENT/skin/endocrine KEEP prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v767_v296_portfolio_ckd_diabetes_full_prune.csv,v767: v296 CKD+Diabetes KEEP precision prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v768_v296_portfolio_uti_diabetes_obstetric_prune.csv,v768: v296 UTI+Diabetes obstetric/GU KEEP prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v769_v296_portfolio_endocrine_small_prune.csv,v769: v296 endocrine KEEP precision prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v770_v296_portfolio_neuro_cardioresp_prune.csv,v770: v296 neuro/cardioresp KEEP prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v771_v296_portfolio_lower_resp_precision_prune.csv,v771: v296 lower-respiratory KEEP precision prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v772_v296_portfolio_bleed_pleura_bronch_prune.csv,v772: v296 bleed/pleura/bronchitis KEEP prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v773_v296_portfolio_ent_thyroid_prune.csv,v773: v296 ENT+thyroid KEEP prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v774_v296_portfolio_gout_ckd_prune.csv,v774: v296 Gout+CKD KEEP prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v775_v296_portfolio_obstetric_metabolic_renal_prune.csv,v775: v296 obstetric/metabolic/renal KEEP prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v776_v296_portfolio_hf_ckd_pneumonia_prune.csv,v776: v296 HF+CKD+Pneumonia KEEP prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v777_v296_portfolio_derm_uti_diabetes_prune.csv,v777: v296 Derm+UTI+Diabetes KEEP prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v778_v296_portfolio_neuro_endocrine_prune.csv,v778: v296 neuro+endocrine KEEP prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v779_v296_portfolio_small_high_precision_prune.csv,v779: v296 small high-precision KEEP prune,intentional multi-condition private KEEP-prune portfolio; ASSOC/DIFF kept empty
submissions/v780_v296_portfolio_broad_private_prune.csv,v780: v296 broad private KEEP prune,intentional broad private KEEP-prune portfolio; ASSOC/DIFF kept empty
